Bubba|152.130.7.3|11/12/05 - 00:12:02|37
Foppish|24.50.227.3|11/12/05 - 09:30:41|4
Foppish (Updater)|24.50.227.3|11/12/05 - 10:50:48|63
auryn8|68.146.108.12|11/12/05 - 12:54:27|1
Kytah|66.222.150.13|11/12/05 - 14:17:07|1
Guest (66.222.150.13)|66.222.150.13|11/12/05 - 14:17:10|1
linkk (Updater)|67.164.165.159|11/12/05 - 14:35:34|11
Iverrus|68.146.108.12|11/12/05 - 19:38:17|4
volizden|68.90.144.70|11/12/05 - 19:41:10|4
Guest (69.29.97.78)|69.29.97.78|11/12/05 - 19:54:05|6
linkk|67.164.165.159|11/12/05 - 21:53:55|34
