1|The Steel Warrior|http://www.thesteelwarrior.org/forum|a place to get all kinds of info for all melee classes. Mainly the warrior class.|02/21/04 - 03:52:58|Killaana|22|0|0|
2|Xornn's Guide to Enchanting|http://members.tripod.com/xornn/introduction.htm|Enchanter site|02/13/04 - 18:33:50|Sealilly|3|1|5|
3|EQ Druids|http://www.eqdruids.com/|Eq druids places for all those woodys to hang out|02/13/04 - 18:31:27|Sealilly|3|0|0|
4|Mage Compendium|http://www.magecompendium.com/|Mage site of lore|02/13/04 - 18:29:32|Coralhunt|5|0|0|
5|EQDiva|http://www.eqdiva.com|Bards songs played here|02/13/04 - 18:28:27|Coralhunt|6|0|0|
6|ShadowKnights.org|http://www.shadowknight.org/|ShadowKnight fun|02/13/04 - 18:24:14|Coralhunt|7|1|10|
7|EQ Clerics|http://eqcleric.gameglow.com/|Clerics learn alot here|02/13/04 - 18:23:44|Coralhunt|5|0|0|
8|EQShaman|http://www.eqshaman.com/|Shaman come here|02/13/04 - 18:22:40|Coralhunt|4|0|0|
9|Graffe's Wizard Compilation|http://www.graffe.com/|Only place for all your wizard needs|02/13/04 - 18:20:09|Coralhunt|1|0|0|
10|Enchanter Epic |http://www.geocities.com/xymarra/|Quick link directly to enchanter epic walkthrough|02/13/04 - 18:13:52|Sealilly|5|1|1|
11|EQ Rangers|http://www.eqrangers.com/|Come all you rangers for some info|02/13/04 - 18:21:39|Coralhunt|4|0|0|
12|The Safehouse|http://www.thesafehouse.org/|Site for all those lil backstabbers like Luminor|02/13/04 - 18:35:39|Sealilly|5|0|0|
