||1|
Executive|Executive|1|Executive
Admin|Admin|Admin|1|Admin
Financial|Financial|1|Financial
Artistic|Artistic|1|Artistic
Managerial|Managerial|1|Managerial
Clerical|Clerical|1|Clerical
Secretarial|Secretarial|1|Secretarial
Science|Science|1|Science
Engineering|Engineering|1|Engineering
Technical|Technical|1|Technical
Teaching|Teaching|1|Teaching
Law|Law|1|Law
Medical|Medical|1|Medical
Athletic|Athletic|1|Athletic
Entrep|Entrep|1|Entrep
Retired|Retired|1|Retired
Student|Student|1|Student
Other|Other|1|Other
