Guest (198.209.164.26)|198.209.164.26|11/14/05 - 09:22:11|2
Ferrik|192.91.171.36|11/14/05 - 09:57:18|43
Guest (64.42.200.130)|64.42.200.130|11/14/05 - 11:31:41|6
Guest (198.209.166.95)|198.209.166.95|11/14/05 - 12:43:06|2
Guest (198.209.165.222)|198.209.165.222|11/14/05 - 15:08:51|2
Guest (198.209.164.42)|198.209.164.42|11/14/05 - 16:57:30|2
auryn8|68.146.108.12|11/14/05 - 20:17:06|15
Bubba|152.130.7.3|11/14/05 - 22:02:13|24
linkk|67.164.165.159|11/14/05 - 22:25:14|34
volizden|68.90.144.70|11/14/05 - 22:50:05|28
Erati|12.217.60.55|11/14/05 - 23:19:40|40
linkk (Updater)|67.164.165.159|11/14/05 - 23:52:35|25
