||1|
1|1|1|1
2|2|1|2
3|3|1|3
4|4|1|4
5|5|1|5
6|6|1|6
7|7|1|7
8|8|1|8
9|9|1|9
10|10|1|10
11|11|1|11
12|12|1|12
13|13|1|13
14|14|1|14
15|15|1|15
16|16|1|16
17|17|1|17
18|18|1|18
19|19|1|19
20|20|1|20
21|21|1|21
22|22|1|22
23|23|1|23
24|24|1|24
25|25|1|25
26|26|1|26
27|27|1|27
28|28|1|28
29|29|1|29
30|30|1|30
31|31|1|31
32|32|1|32
33|33|1|33
34|34|1|34
35|35|1|35
36|36|1|36
37|37|1|37
38|38|1|38
39|39|1|39
40|40|1|40
41|41|1|41
42|42|1|42
43|43|1|43
44|44|1|44
45|45|1|45
46|46|1|46
47|47|1|47
48|48|1|48
49|49|1|49
50|50|1|50
51|51|1|51
52|52|1|52
53|53|1|53
54|54|1|54
55|55|1|55
56|56|1|56
57|57|1|57
58|58|1|58
59|59|1|59
60|60|1|60
