||1|
Scout|Scout|1|Scout
Brigand|Brigand|1|Brigand
Swashbuckler|Swashbuckler|1|Swashbuckler
Bard|Bard|1|Bard
Dirge|Dirge|1|Dirge
Troubadour|Troubadour|1|Troubadour
Predator|Predator|1|Predator
Assassin|Assassin|1|Assassin
Ranger|Ranger|1|Ranger
Fighter|Fighter|1|Fighter
Warrior|Warrior|1|Warrior
Berserker|Berserker|1|Berserker
Guardian|Guardian|1|Guardian
Brawler|Brawler|1|Brawler
Bruiser|Bruiser|1|Bruiser
Monk|Monk|1|Monk
Crusader|Crusader|1|Crusader
Paladin|Paladin|1|Paladin
Shadowknight|Shadowknight|1|Shadowknight
Mage|Mage|1|Mage
Sorcer|Sorcer|1|Sorcer
Warlock|Warlock|1|Warlock
Wizard|Wizard|1|Wizard
Enchanter|Enchanter|1|Enchanter
Illusionist|Illusionist|1|Illusionist
Coercer|Coercer|1|Coercer
Summoner|Summoner|1|Summoner
Necromancer|Necromancer|1|Necromancer
Conjurer|Conjurer|1|Conjurer
Priest|Priest|1|Priest
Cleric|Cleric|1|Cleric
Templar|Templar|1|Templar
Inquisitor|Inquisitor|1|Inquisitor
Druid|Druid|1|Druid
Warden|Warden|1|Warden
Fury|Fury|1|Fury
Shaman|Shaman|1|Shaman
Defiler|Defiler|1|Defiler
Mystic|Mystic|1|Mystic
