ID	Name	Date	Item	Zone	Mob	NoDrop
1	Tinguren	3/29/04	Great Blade of Storms	BoT - Ocean Tower	Eindride Icestorm (Tower)	yes
2	Gilgalid	3/29/04	Great Blade of Storms	BoT - Ocean Tower	Eindride Icestorm (Tower)	yes
3	Killaana	3/27/04	great blade of storm	BoT - Ocean Tower	Eindride Icestorm (Tower)	yes
4	Zenzas	5/31/04	Chestplate of Vindication	Kael Drakkel	Vindi	Yes
5	Briadorn	5/31/04	Hammer of Battle	Kael Drakkel	Statue of Rallos Zek	Yes
6	Minmite	5/31/04	Hammer of Battle	Kael Drakkel	Statue of Rallos Zek	Yes
7	Nairnosmirc	5/31/04	Hammer of Battle	Kael Drakkel	Statue of Rallos Zek	Yes
8	Myrlyn	5/31/04	Veil of Bile	Crypt of Decay	Paffa	Yes
9	Rekaz	6/02/04	Ribcracker	Akheva Ruins	The Intraer Vius	Yes
10	Cyrdan	6/02/04	Wito Xi Tetoracu	Akheva Ruins	The Intraer Vius	Yes
11	Sendace	6/02/04	Wito Xi Tetoracu	Akheva Ruins	The Intraer Vius	Yes
